FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
0,-0.664425,3,-0.517314,-3.68939,33,0,0,0,0,0,0
0,-0.664425,5,-0.517314,-3.68939,33,0,0,0,0,0,0
0,-0.664425,7,-0.517314,-3.68939,33,0,0,0,0,0,0
0,-0.664425,10,-0.517314,-3.68939,33,0,0,0,0,0,0
0,-0.664425,15,-0.517314,-3.68939,33,0,0,0,0,0,0
0,-0.664425,18,-0.517314,-3.68939,33,0,0,0,0,0,0
0,-0.664425,22,-0.517314,-3.68939,33,0,0,0,0,0,0
0,-0.664425,27,-0.517314,-3.68939,33,0,0,0,0,0,0
0,-0.664425,32,-0.517314,-3.68939,33,0,0,0,0,0,0
0,-0.664425,38,-0.517314,-3.68939,33,0,0,0,0,0,0
0,-0.664425,42,-0.517314,-3.68939,33,0,0,0,0,0,0
0,-0.664425,45,-0.517314,-3.68939,33,0,0,0,0,0,0
0,-0.664425,45,-0.517314,-3.68939,33,0,0,0,0,0,0
0,-0.664425,50,-0.517314,-3.68939,33,0,0,0,0,0,0
0,-0.664425,50,-0.517314,-3.68939,33,0,0,0,0,0,0
0,-0.664425,50,-0.517314,-3.68939,33,0,0,0,0,0,0
