FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
0,-0.664425,3.34156,-0.517314,3.68939,29.0704,29.0704,-1.79294,-3.810735,68.4795,0.69452,-0.0300142
5,1.93973830903125,3.90706001875,0.873255566875,3.0577972375,29.1204954377812,29.0705,-1.93255738058917,-3.90308237291883,68.543204759625,0.69934781975,-0.03019114864225
10,3.828109589,4.3209754,1.83848407,2.5204889,29.070219418,29.0706,-2.06466448610059,-3.9970817728024,68.635959389,0.704126979,-0.030329667638
15,5.14847405709375,4.61502094375,2.489854666875,2.0696949125,29.0739995300312,29.0707,-2.18959928839804,-4.09239650257448,68.756987740875,0.70885747775,-0.03042946684075
20,6.023661048,4.8173272,2.92625512,1.6976452,29.181861552,29.0708,-2.30768769584595,-4.1887012600768,68.905522104,0.713539316,-0.030490256104
25,6.55444384765625,4.95244046875,3.233977796875,1.3965696875,29.3806484570312,29.0709,-2.41924384399243,-4.28568199632813,69.080803203125,0.71817249375,-0.03051174528125
30,6.822439527,5.0413228,3.48671967,1.1586983,29.627036122,29.0710,-2.5245703828163,-4.3830357737832,69.282080199,0.722757011,-0.030493644226
35,6.89300877571875,5.10135199375,3.745582316875,0.9762609625,29.8723457387812,29.0711,-2.62395876053837,-4.48047062459178,69.508610688375,0.72729286775,-0.03043566279175
40,6.818155736,5.1463216,4.05907192,0.8414876,30.079152928,29.0712,-2.71768950399693,-4.5777054088576,69.759660704,0.731780064,-0.030337510832
45,6.63942783628125,5.18644091875,4.463099266875,0.746608137500001,30.2296935552812,29.0713,-2.80603249558729,-4.67446967289743,70.034504714625,0.73621859975,-0.03019889820025
50,6.390815625,5.228335,4.98097975000001,0.6838525,30.32606625,29.0714,-2.88924724676563,-4.7705035075,70.332425625,0.740608475,-0.03001953475
55,6.10165260434375,5.27504464375,5.623433366875,0.6454506125,30.3822316265313,29.0715,-2.9675831681169,-4.86555740618508,70.652714775875,0.74494968975,-0.02979913033475
60,5.799515064,5.3260264,6.38858472,0.6236324,30.407808208,29.0716,-3.04127983598701,-4.9593921234624,70.994671944,0.749242244,-0.029537394808
65,5.51312191490623,5.37715256875,7.26196301687501,0.610627787500001,30.3836650525312,29.0717,-3.11056725567906,-5.05177853309072,71.357605342125,0.75348613775,-0.02923403802325
70,5.275234523,5.4207112,8.21650207,0.598666700000001,30.229311082,29.0718,-3.17566612121386,-5.1424974863368,71.740831619,0.757681371,-0.028888769834
75,5.12555654296874,5.44540609375,9.21254029687501,0.5799790625,29.7620811132812,29.0719,-3.23678807165454,-5.23133967023437,72.143675859375,0.76182794375,-0.02850130009375
